"","p","n","cor","pval"
"244",5,200,0,0.998
"245",5,200,0,0.352
"246",5,200,0,0.072
"247",5,200,0,0.373
"248",5,200,0,0.81
"249",5,200,0,0.494
"250",5,200,0,0.65
"251",5,200,0,0.426
"252",5,200,0,0.584
"253",5,200,0,0.962
"254",5,200,0,0.149
"255",5,200,0,0.805
"256",5,200,0,0.199
"257",5,200,0,0.485
"258",5,200,0,0.109
"259",5,200,0,0.331
"260",5,200,0,0.77
"261",5,200,0,0.103
"262",5,200,0,0.763
"263",5,200,0,0.05
"264",5,200,0,0.262
"265",5,200,0,0.78
"266",5,200,0,0.28
"267",5,200,0,0.579
"268",5,200,0,0.47
"269",5,200,0,0.272
"270",5,200,0,0.771
"271",5,200,0,0.822
"272",5,200,0,0.709
"273",5,200,0,0.162
"274",5,200,0,0.18
"275",5,200,0,0.104
"276",5,200,0,0.306
"277",5,200,0,0.169
"278",5,200,0,0.219
"279",5,200,0,0.368
"280",5,200,0,0.453
"281",5,200,0,0.443
"282",5,200,0,0.99
"283",5,200,0,0.28
"284",5,200,0,0.203
"285",5,200,0,0.904
"286",5,200,0,0.277
"287",5,200,0,0.338
"288",5,200,0,0.87
"289",5,200,0,0.231
"290",5,200,0,0.695
"291",5,200,0,0.496
"292",5,200,0,0.66
"293",5,200,0,0.587
"294",5,200,0,0.865
"295",5,200,0,0.901
"296",5,200,0,0.24
"297",5,200,0,0.492
"298",5,200,0,0.613
"299",5,200,0,0.929
"300",5,200,0,0.447
"301",5,200,0,0.297
"302",5,200,0,0.001
"303",5,200,0,0.016
"304",5,200,0,0.874
"305",5,200,0,0.617
"306",5,200,0,0.011
"307",5,200,0,0.237
"308",5,200,0,0.775
"309",5,200,0,0.813
"310",5,200,0,0.794
"311",5,200,0,0.121
"312",5,200,0,0.221
"313",5,200,0,0.25
"314",5,200,0,0.771
"315",5,200,0,0.395
"316",5,200,0,0.974
"317",5,200,0,0.779
"318",5,200,0,0.0649999999999999
"319",5,200,0,0.824
"320",5,200,0,0.075
"321",5,200,0,0.379
"322",5,200,0,0.726
