X1,p,n,cor,pval,testStat
96,5,200,0.1,2e-4,75.9284352653157
97,5,200,0.1,2e-4,87.5945401390256
98,5,200,0.1,0.6432,16.1804856206592
99,5,200,0.1,0.2268,21.4854099977709
100,5,200,0.1,0.4976,17.7554703004722
101,5,200,0.1,2e-4,52.5162135123838
102,5,200,0.1,2e-4,78.2616135426659
103,5,200,0.1,0.6534,16.1514833902816
104,5,200,0.1,0.329,19.9316074264397
105,5,200,0.1,2e-4,64.1543760476663
106,5,200,0.1,0.0764,25.6625185819125
107,5,200,0.1,0.1014,24.4597625466342
108,5,200,0.1,2e-4,68.3832547263646
109,5,200,0.1,2e-4,94.4285152087556
110,5,200,0.1,0.0788,25.373947453188
111,5,200,0.1,0.3322,19.6939852854517
112,5,200,0.1,2e-4,81.6456123790622
113,5,200,0.1,2e-4,89.9569935643206
114,5,200,0.1,0.6384,16.1315786740986
115,5,200,0.1,2e-4,80.8486735120744
116,5,200,0.1,2e-4,72.528789901848
117,5,200,0.1,0.3016,20.1045915732452
118,5,200,0.1,0.356,19.4493917235144
119,5,200,0.1,0.5886,16.701690653165
120,5,200,0.1,2e-4,87.5426460625338
121,5,200,0.1,2e-4,93.4899089740007
122,5,200,0.1,0.3266,19.664411732665
123,5,200,0.1,2e-4,78.9974934570963
124,5,200,0.1,2e-4,80.3689492486989
125,5,200,0.1,2e-4,83.6676443131673
126,5,200,0.1,0.6792,15.712217128096
127,5,200,0.1,0.6346,16.3138907197467
128,5,200,0.1,0.6282,16.1774487020864
129,5,200,0.1,0.4972,17.7992494357144
130,5,200,0.1,0.2018,21.9592114288795
131,5,200,0.1,0.35,19.6689289000293
132,5,200,0.1,0.0172,30.7729208668735
133,5,200,0.1,2e-4,67.7368482147726
134,5,200,0.1,2e-4,83.2346432568465
135,5,200,0.1,2e-4,73.6515649450041
136,5,200,0.1,2e-4,92.2855513038575
137,5,200,0.1,0.774,14.8124801735759
138,5,200,0.1,2e-4,81.0244424721192
139,5,200,0.1,2e-4,77.6409728160358
140,5,200,0.1,0.0848,24.7792423555807
141,5,200,0.1,2e-4,82.1651766270375
142,5,200,0.1,0.8048,14.3727791560366
143,5,200,0.1,0.0722,25.4274704934309
144,5,200,0.1,2e-4,80.6646075845901
145,5,200,0.1,0.6038,16.7004629304784
146,5,200,0.1,0.0014,37.5124495468694
147,5,200,0.1,2e-4,79.9713055640596
148,5,200,0.1,2e-4,49.6749229203986
149,5,200,0.1,2e-4,81.559397649724
150,5,200,0.1,2e-4,84.7549883365925
151,5,200,0.1,2e-4,79.4301009115529
152,5,200,0.1,2e-4,68.4059342209145
153,5,200,0.1,2e-4,82.8531835887206
154,5,200,0.1,0.1354,23.5742429541286
155,5,200,0.1,2e-4,80.7447493217897
156,5,200,0.1,0.791,14.4920105344656
157,5,200,0.1,2e-4,73.8656283839054
158,5,200,0.1,0.6296,16.358852048839
159,5,200,0.1,2e-4,93.1703961646437
160,5,200,0.1,2e-4,89.5435727832881
161,5,200,0.1,0.6058,16.5496904743522
162,5,200,0.1,2e-4,68.7854636195805
163,5,200,0.1,0.8784,13.3612712261538
164,5,200,0.1,0.008,33.6377179826352
165,5,200,0.1,0.6176,16.3530813966062
166,5,200,0.1,0.3374,19.7533296693624
167,5,200,0.1,2e-4,76.8522651834784
168,5,200,0.1,0.213,21.6958294055664
169,5,200,0.1,0.9536,11.7160838442966
170,5,200,0.1,2e-4,82.392030989823
171,5,200,0.1,2e-4,82.2882115818367
172,5,200,0.1,0.2894,20.4692704194858
173,5,200,0.1,2e-4,71.540925341512
174,5,200,0.1,0.2466,21.1706237983125
175,5,200,0.1,2e-4,83.8257287102212
176,5,200,0.1,0.319,20.1294652658401
177,5,200,0.1,0.026,29.6142654973856
178,5,200,0.1,0.2114,21.7672558739333
179,5,200,0.1,2e-4,90.5846645037777
180,5,200,0.1,0.0034,35.8996404690199
181,5,200,0.1,0.1094,24.1653239804174
182,5,200,0.1,8e-4,42.5148724889165
183,5,200,0.1,0.4596,18.0267436233667
184,5,200,0.1,2e-4,84.0831198051271
185,5,200,0.1,2e-4,78.2429693623912
186,5,200,0.1,2e-4,74.1734358840606
