"","p","n","cor","pval","stat"
"58",5,200,0.1,2.09875338341444e-10,74.7451422073574
"59",5,200,0.1,0.624738782992862,16.9532067819862
"60",5,200,0.1,1.61860095165388e-11,80.2790308870187
"61",5,200,0.1,0.822591760499755,14.6207324432928
"62",5,200,0.1,0.72561930100449,15.8188729050922
"63",5,200,0.1,0.283346228469674,21.1758485449853
"64",5,200,0.1,0.165182648900277,23.4050432695685
"65",5,200,0.1,0.271123378615387,21.3702339858384
"66",5,200,0.1,2.1151979649382e-10,74.7281787571718
"67",5,200,0.1,6.69872028000806e-09,67.1430369335526
"68",5,200,0.1,2.72911568524319e-10,74.1739368654181
"69",5,200,0.1,0.780535757706877,15.1624744010965
"70",5,200,0.1,0.854392324995464,14.1747573502166
"71",5,200,0.1,0.530673172586072,17.99847615842
"72",5,200,0.1,0.102128356493704,25.1917650570363
"73",5,200,0.1,3.76341604866116e-12,83.4010846813664
"74",5,200,0.1,2.79050223866728e-11,79.1083402145894
"75",5,200,0.1,0.626131754643915,16.9378068002659
"76",5,200,0.1,0.068059199198812,26.6027192337571
"77",5,200,0.1,0.0886580196845086,25.6921229755171
"78",5,200,0.1,4.62226046747702e-13,87.857451018379
"79",5,200,0.1,1.4041215037567e-09,70.592575168687
"80",5,200,0.1,1.8910238815178e-11,79.9449691692911
"81",5,200,0.1,0.185504916889657,22.9495983887707
"82",5,200,0.1,8.42194433630705e-14,91.4512114052615
"83",5,200,0.1,6.04273860077964e-13,87.289913691904
"84",5,200,0.1,3.23476010915958e-09,68.7544890244965
"85",5,200,0.1,0.992198989334348,10.5323126307251
"86",5,200,0.1,0.190834885228343,22.8366879462517
"87",5,200,0.1,1.44929650357051e-09,70.5230030653179
"88",5,200,0.1,7.04502770210539e-11,77.1110270723106
"89",5,200,0.1,0.0904474701947415,25.6220301016499
"90",5,200,0.1,0.323520434381656,20.5742565128728
"91",5,200,0.1,0.0760530212429046,26.223940032305
"92",5,200,0.1,1.22803598976912e-12,85.7853643518716
"93",5,200,0.1,0.230108608349555,22.0717865214624
"94",5,200,0.1,5.6532967187377e-14,92.2896372503941
"95",5,200,0.1,5.19964436686743e-11,77.7670467314226
"96",5,200,0.1,5.27661437623006e-11,77.7353307131831
"97",5,200,0.1,8.10659872778246e-12,81.761246707055
"98",5,200,0.1,0.502475734335065,18.3187644294183
"99",5,200,0.1,0.37454304098874,19.8749759562788
"100",5,200,0.1,0.299895405707525,20.9215856460639
"101",5,200,0.1,1.55894024887143e-08,65.2630435606291
"102",5,200,0.1,0.782428956213461,15.1389702564203
"103",5,200,0.1,0.392840714062777,19.6378793765354
"104",5,200,0.1,3.2267654369634e-09,68.7599536011285
"105",5,200,0.1,0.00991007795758225,32.5922632977267
"106",5,200,0.1,0.506145931554321,18.2767701332253
"107",5,200,0.1,0.445110597824301,18.9907683313007
"108",5,200,0.1,1.06269437585263e-14,95.7941810566373
"109",5,200,0.1,0.857521055050783,14.1285933167638
"110",5,200,0.1,2.48214560909441e-11,79.3602732030245
"111",5,200,0.1,0.403583180979868,19.5014769511721
"112",5,200,0.1,3.03930711989577e-10,73.9395724436934
"113",5,200,0.1,0.329532912280223,20.4884905303586
"114",5,200,0.1,0.656485505903515,16.6013442124347
"115",5,200,0.1,0.175366584703287,23.171583906653
"116",5,200,0.1,7.91750077560315e-12,81.8117638418507
"117",5,200,0.1,0.109463786775403,24.942633586861
"118",5,200,0.1,3.29028290275189e-12,83.6876736264903
"119",5,200,0.1,0.708436544541996,16.0166009443217
"120",5,200,0.1,5.91956276314477e-11,77.4870891845372
"121",5,200,0.1,0.429188122691887,19.1837258387139
"122",5,200,0.1,0.0983839181280147,25.3248754567949
"123",5,200,0.1,9.89375188299172e-10,71.3608598861143
"124",5,200,0.1,2.31205712916904e-12,84.4395805482407
"125",5,200,0.1,0.0607425372056416,26.9855487161152
"126",5,200,0.1,0.786745444233146,15.0851101432896
"127",5,200,0.1,0.700841225692264,16.1031719603751
"128",5,200,0.1,0.171148521769935,23.2669358982069
"129",5,200,0.1,2.58672522453878e-12,84.2004738640021
